,day_stap,valid_section,repo_for_week
51,2022-08-21,"[20, 20, 20, 20, 20, 20, 20]",140
52,2022-08-22,"[20, 20, 20, 20, 20, 20, 20]",140
53,2022-08-23,"[20, 20, 20, 20, 20, 20, 20]",140
54,2022-08-24,"[20, 20, 20, 20, 20, 20, 20]",140
55,2022-08-25,"[20, 20, 20, 20, 20, 20, 20]",140
56,2022-08-26,"[20, 20, 20, 20, 20, 20, 20]",140
57,2022-08-27,"[20, 20, 20, 20, 20, 20, 20]",140
58,2022-08-28,"[20, 20, 20, 20, 20, 20, 20]",140
59,2022-08-29,"[20, 20, 20, 20, 20, 20, 20]",140
60,2022-08-30,"[20, 20, 20, 20, 20, 20, 20]",140
61,2022-08-31,"[20, 20, 20, 20, 20, 20, 20]",140
62,2022-09-01,"[20, 20, 20, 20, 20, 20, 20]",140
63,2022-09-02,"[20, 20, 20, 20, 20, 20, 20]",140
64,2022-09-03,"[20, 20, 20, 20, 20, 20, 20]",140
65,2022-09-04,"[20, 20, 20, 20, 20, 20, 20]",140
66,2022-09-05,"[20, 20, 20, 20, 20, 20, 20]",140
67,2022-09-06,"[20, 20, 20, 20, 20, 20, 20]",140
68,2022-09-07,"[20, 20, 20, 20, 20, 20, 20]",140
69,2022-09-08,"[20, 20, 20, 20, 20, 20, 20]",140
70,2022-09-09,"[20, 20, 20, 20, 20, 20, 20]",140
71,2022-09-10,"[20, 20, 20, 20, 20, 20, 20]",140
72,2022-09-11,"[20, 20, 20, 20, 20, 20, 20]",140
73,2022-09-12,"[20, 20, 20, 20, 20, 20, 20]",140
74,2022-09-13,"[20, 20, 20, 20, 20, 20, 20]",140
75,2022-09-14,"[20, 20, 20, 20, 20, 20, 20]",140
76,2022-09-15,"[20, 20, 20, 20, 20, 20, 20]",140
77,2022-09-16,"[20, 20, 20, 20, 20, 20, 20]",140
78,2022-09-17,"[20, 20, 20, 20, 20, 20, 20]",140
79,2022-09-18,"[20, 20, 20, 20, 20, 20, 20]",140
80,2022-09-19,"[20, 20, 20, 20, 20, 20, 20]",140
81,2022-09-20,"[20, 20, 20, 20, 20, 20, 20]",140
82,2022-09-21,"[20, 20, 20, 20, 20, 20, 20]",140
83,2022-09-22,"[20, 20, 20, 20, 20, 20, 20]",140
84,2022-09-23,"[20, 20, 20, 20, 20, 20, 20]",140
85,2022-09-24,"[20, 20, 20, 20, 20, 20, 20]",140
86,2022-09-25,"[20, 20, 20, 20, 20, 20, 20]",140
87,2022-09-26,"[20, 20, 20, 20, 20, 20, 420]",540
88,2022-09-27,"[20, 20, 20, 20, 20, 420, 1130]",1650
89,2022-09-28,"[20, 20, 20, 20, 420, 1130, 1330]",2960
90,2022-09-29,"[20, 20, 20, 420, 1130, 1330, 1050]",3990
91,2022-09-30,"[20, 20, 420, 1130, 1330, 1050, 1280]",5250
92,2022-10-01,"[20, 20, 420, 1130, 1330, 1050, 1280]",5250
93,2022-10-02,"[20, 20, 420, 1130, 1330, 1050, 1280]",5250
94,2022-10-03,"[20, 20, 420, 1130, 1330, 1050, 1280]",5250
95,2022-10-04,"[20, 20, 420, 1130, 1330, 1050, 1280]",5250
96,2022-10-05,"[20, 20, 420, 1130, 1330, 1050, 1280]",5250
97,2022-10-06,"[20, 20, 420, 1130, 1330, 1050, 1280]",5250
98,2022-10-07,"[20, 20, 420, 1130, 1330, 1050, 1280]",5250
99,2022-10-08,"[20, 420, 1130, 1330, 1050, 1280, 170]",5400
100,2022-10-09,"[420, 1130, 1330, 1050, 1280, 170, 20]",5400
101,2022-10-10,"[1130, 1330, 1050, 1280, 170, 20, 20]",5000
102,2022-10-11,"[1330, 1050, 1280, 170, 20, 20, 20]",3890
103,2022-10-12,"[1050, 1280, 170, 20, 20, 20, 20]",2580
104,2022-10-13,"[1280, 170, 20, 20, 20, 20, 20]",1550
105,2022-10-14,"[170, 20, 20, 20, 20, 20, 20]",290
106,2022-10-15,"[170, 20, 20, 20, 20, 20, 20]",290
107,2022-10-16,"[170, 20, 20, 20, 20, 20, 20]",290
108,2022-10-17,"[20, 20, 20, 20, 20, 20, 20]",140
109,2022-10-18,"[20, 20, 20, 20, 20, 20, 20]",140
110,2022-10-19,"[20, 20, 20, 20, 20, 20, 20]",140
111,2022-10-20,"[20, 20, 20, 20, 20, 20, 20]",140
112,2022-10-21,"[20, 20, 20, 20, 20, 20, 20]",140
113,2022-10-22,"[20, 20, 20, 20, 20, 20, 20]",140
114,2022-10-23,"[20, 20, 20, 20, 20, 20, 20]",140
115,2022-10-24,"[20, 20, 20, 20, 20, 20, 100]",220
116,2022-10-25,"[20, 20, 20, 20, 20, 100, 2300]",2500
117,2022-10-26,"[20, 20, 20, 20, 100, 2300, 2800]",5280
118,2022-10-27,"[20, 20, 20, 100, 2300, 2800, 2400]",7660
119,2022-10-28,"[20, 20, 100, 2300, 2800, 2400, 900]",8540
120,2022-10-29,"[20, 20, 100, 2300, 2800, 2400, 900]",8540
121,2022-10-30,"[20, 20, 100, 2300, 2800, 2400, 900]",8540
122,2022-10-31,"[20, 100, 2300, 2800, 2400, 900, 700]",9220
123,2022-11-01,"[100, 2300, 2800, 2400, 900, 700, 150]",9350
124,2022-11-02,"[2300, 2800, 2400, 900, 700, 150, 180]",9430
125,2022-11-03,"[2800, 2400, 900, 700, 150, 180, 70]",7200
126,2022-11-04,"[2400, 900, 700, 150, 180, 70, 30]",4430
127,2022-11-05,"[2400, 900, 700, 150, 180, 70, 30]",4430
128,2022-11-06,"[2400, 900, 700, 150, 180, 70, 30]",4430
129,2022-11-07,"[900, 700, 150, 180, 70, 30, 20]",2050
130,2022-11-08,"[700, 150, 180, 70, 30, 20, 20]",1170
131,2022-11-09,"[150, 180, 70, 30, 20, 20, 80]",550
132,2022-11-10,"[180, 70, 30, 20, 20, 80, 90]",490
133,2022-11-11,"[70, 30, 20, 20, 80, 90, 120]",430
134,2022-11-12,"[70, 30, 20, 20, 80, 90, 120]",430
135,2022-11-13,"[70, 30, 20, 20, 80, 90, 120]",430
136,2022-11-14,"[30, 20, 20, 80, 90, 120, 50]",410
137,2022-11-15,"[20, 20, 80, 90, 120, 50, 1720]",2100
138,2022-11-16,"[20, 80, 90, 120, 50, 1720, 710]",2790
139,2022-11-17,"[80, 90, 120, 50, 1720, 710, 1320]",4090
140,2022-11-18,"[90, 120, 50, 1720, 710, 1320, 210]",4220
141,2022-11-19,"[90, 120, 50, 1720, 710, 1320, 210]",4220
142,2022-11-20,"[90, 120, 50, 1720, 710, 1320, 210]",4220
143,2022-11-21,"[120, 50, 1720, 710, 1320, 210, 30]",4160
144,2022-11-22,"[50, 1720, 710, 1320, 210, 30, 20]",4060
145,2022-11-23,"[1720, 710, 1320, 210, 30, 20, 20]",4030
